,,,,,
codeset,Type,application,Name,FIELDMOBI_DEFAULT,
,,,,,
field,Type,Level,Parent Path,Code,Description
65,INDUSTRY,Level_002,INDUSTRY#FMCG,AGRICULTURAL_PRODUCTS,Agricultural Products and Services
66,INDUSTRY,Level_002,INDUSTRY#FMCG,PACKAGED_FOODS,Packaged Foods and Meats
67,INDUSTRY,Level_002,INDUSTRY#FMCG,HOUSEHOLD_PRODUCTS,Household Products
68,INDUSTRY,Level_002,INDUSTRY#FMCG,PERSONAL_CARE,Personal Care Products
69,INDUSTRY,Level_002,INDUSTRY#RETAIL,AUTOMOTIVE_RETAIL,Automotive Retail
70,INDUSTRY,Level_002,INDUSTRY#RETAIL,DRUG_RETAIL,Drug Retail
71,INDUSTRY,Level_002,INDUSTRY#RETAIL,SUPERMARKETS,"Supermarkets, Hypermarkets, Grocery and Other Retailers"
72,INDUSTRY,Level_002,INDUSTRY#PHARMA,HEALTHCARE_EQP,Health Care Equipment
73,INDUSTRY,Level_002,INDUSTRY#PHARMA,HEALTHCARE_CONSUMABLES,Health Care Supplies and Consumables
74,INDUSTRY,Level_002,INDUSTRY#PHARMA,HEALTHCARE_SERVICES,Health Care Services
75,INDUSTRY,Level_002,INDUSTRY#PHARMA,HEALTHCARE_FACILITIES,Health Care Facilities
76,INDUSTRY,Level_002,INDUSTRY#PHARMA,PHARMACEUTICALS,Pharmaceuticals
77,INDUSTRY,Level_002,INDUSTRY#ELECTRONICS,ELECTRONIC_EQP,Electronic Equipment and Instruments
78,INDUSTRY,Level_002,INDUSTRY#ELECTRONICS,ELECTRONIC_COMPONENTS,Electronic Components
79,INDUSTRY,Level_002,INDUSTRY#ELECTRONICS,ELECTRONIC_MANUFACTURING,Electronic Manufacturing Services
80,INDUSTRY,Level_002,INDUSTRY#MEDIA,ADVERTISING,Advertising
81,INDUSTRY,Level_002,INDUSTRY#MEDIA,BROADCASTING,Broadcasting
82,INDUSTRY,Level_002,INDUSTRY#MEDIA,CABLE,Cable and Satellite
83,INDUSTRY,Level_002,INDUSTRY#MEDIA,PUBLISHING,Publishing
84,INDUSTRY,Level_002,INDUSTRY#MEDIA,MOVIES,Movies and Entertainment
85,INDUSTRY,Level_002,INDUSTRY#REALESTATE,REALESTATE_OPS,Real Estate Operating Companies
86,INDUSTRY,Level_002,INDUSTRY#REALESTATE,REALESTATE_DEVELOPMENT,Real Estate Development
87,INDUSTRY,Level_002,INDUSTRY#REALESTATE,REALESTATE_SERVICES,Real Estate Services
88,INDUSTRY,Level_002,INDUSTRY#RENTAL,EQP_RENTAL,Equipment Rental
89,INDUSTRY,Level_002,INDUSTRY#RENTAL,HEAVYEQP_RENTAL,Heavy Equipment Rental
90,INDUSTRY,Level_002,INDUSTRY#RENTAL,VEHICLE_RENTAL,Vehicle Rental
91,CHARGECODE,Level_001,CHARGECODE,BUSINESS_EXPENSE,Business Expense
92,CHARGECODE,Level_001,CHARGECODE,EMPLOYEE,Employee
93,CHARGECODE,Level_001,CHARGECODE,TAXES,Taxes
94,CHARGECODE,Level_001,CHARGECODE,DEPRECIATION,Depreciation
95,CHARGECODE,Level_001,CHARGECODE,INTERESTS,Interests
96,CHARGECODE,Level_001,CHARGECODE,LEGAL_EXPENSE,Legal Expense
97,CHARGECODE,Level_001,CHARGECODE,BUSINESS_LOSS,Business Loss
98,CHARGECODE,Level_001,CHARGECODE,OFFICE_EXPENSE,Office Expense
99,CHARGECODE,Level_001,CHARGECODE,SAFETY,Safety
100,CHARGECODE,Level_001,CHARGECODE,MAINTENANCE,Maintenance
101,CHARGECODE,Level_001,CHARGECODE,MARKETING,Marketing and Advertising
102,CHARGECODE,Level_001,CHARGECODE,BAD_DEBTS,Bad Debts
103,CHARGECODE,Level_001,CHARGECODE,COGS,COGS
104,CHARGECODE,Level_002,CHARGECODE#BAD_DEBTS,NON_PAYMENT,Non payment from customers
105,CHARGECODE,Level_002,CHARGECODE#BAD_DEBTS,FRAUDULENT_ACTIVITIES,Fraudulent activities
106,CHARGECODE,Level_002,CHARGECODE#BAD_DEBTS,ECONOMIC_DOWNTURN,Economic downturn
107,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,RENT,Rent
108,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,UTILITIES,Utilities
109,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,SHIPPING,Postage & Shipping
110,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,INSURANCE,Insurance premium
111,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,PACKAGING_COST,Packaging cost
112,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,STORAGE,Storage cost
113,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,WAREHOUSING,Warehousing cost
114,CHARGECODE,Level_002,CHARGECODE#BUSINESS_EXPENSE,CUSTOMS,Custom duties & tariffs
115,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,OPERATING_LOSS,Operating loss
116,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,NET_LOSS,Net loss
117,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,CAPITAL_LOSS,Capital loss
118,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,INVENTORY_LOSS,Inventory loss
119,CHARGECODE,Level_002,CHARGECODE#BUSINESS_LOSS,IMPAIRMENT_LOSS,Impairment loss
120,CHARGECODE,Level_002,CHARGECODE#COGS,LABOR_COST,Direct Labor Cost
121,CHARGECODE,Level_002,CHARGECODE#COGS,MATERIAL_COST,Direct Material Cost
122,CHARGECODE,Level_002,CHARGECODE#COGS,MANUFACTURING_COST,Direct Manufacturing Cost
123,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,DEP_ASSETS,Depreciation on fixed assets
124,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,INTANGIBLE_ASSETS,Amortization on intangible assets
125,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,DEPLETION,Depletion of natural resources
126,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,ACCUMULATED_DEPRECIATION,Accumulated depreciation
127,CHARGECODE,Level_002,CHARGECODE#DEPRECIATION,IMPAIRMENT,Impairment charge
128,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,SALARY,Salary
129,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_TRAVEL,Employee travel
130,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_FOOD,Employee food
131,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,TRAINING,Training
132,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,HEALTH,Health
133,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,PURCHASE,purchase for employee usage
134,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_BENEFITS,Employee benefits
